study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -97.64618 0.0250804908029175 0.00319906778519047 0.0241140728650411 0.00272175103349848
Nominal -73.23422 0.109632002385043 0.00301555339746987 0.113063293306705 0.00291415799532324
Nominal -48.82226 0.330305899761919 0.00288215631443875 0.315033654236083 0.00261263857499267
Nominal -24.4103 0.676220931142704 0.00239654417311219 0.630658696929798 0.00227524711543253
Nominal -9.764119999999998 0.823183175947678 0.00198834452438862 0.780607216790232 0.00196606926209053
Nominal -4.882059999999999 0.852020748700381 0.0018838971134385 0.812426768919752 0.00181928296177092
Nominal 0.0 0.866520096316474 0.00183947042943655 0.824670670362189 0.00180559159335231
Nominal 0.0 0.860296871836789 0.00189150717692221 0.823189459148913 0.0018088264312785
Nominal 0.0 0.860679208746925 0.00189979017683473 0.829556649681454 0.00182249210004148
Nominal 4.882059999999999 0.847161147290031 0.00194207644756961 0.826512618671284 0.00181110552785579
Nominal 9.764119999999998 0.823234687074915 0.0024918390505082 0.815030102254019 0.00206250817205877
Nominal 24.4103 0.671416801779803 0.00244551991169456 0.701266318153943 0.00213173416840878
