study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -9.999965999999999 0.0164196199094521 0.0034913570925004 0.0200424714504284 0.00291201425483059
Nominal -4.999982999999999 0.322929347412124 0.00301946026917801 0.334208848424555 0.00268437432542082
Nominal -1.9999590000000003 0.736270382925069 0.00240185797989595 0.720255049121867 0.00246766125372844
Nominal -0.999951 0.841381313756921 0.00194091553386122 0.795625572741417 0.00192495888177441
Nominal -0.4999470000000001 0.859161417807977 0.0018829714042255 0.821844150998956 0.00183060849576405
Nominal -0.099978 0.862771667296829 0.0018839857390141 0.835840657439027 0.00177890824244376
Nominal -0.0 0.856213454248643 0.00193473348609841 0.825152799834974 0.00188770538375416
Nominal -0.0 0.856885835385812 0.0019896228554111 0.836108709477774 0.00186879399859463
Nominal -0.0 0.855886117646961 0.00195578395417706 0.826139620977574 0.00187086141817883
Nominal -0.0 0.856397271555073 0.00185865840244309 0.825289064817517 0.00183000623476426
Nominal 0.099978 0.859005090497422 0.00197107403006214 0.828657762109439 0.00188995680348908
Nominal 0.4999470000000001 0.831881587063453 0.00242098145986597 0.812823308590731 0.00224358534698132
Nominal 0.999951 0.793801594385504 0.00217242776534732 0.77422216264856 0.00200307343311601
Nominal 1.9999590000000003 0.685582982399964 0.00249143926027789 0.690594238085942 0.00225803921381545
Nominal 9.999965999999999 0.0186635605164179 0.00300428126304336 0.0154656492374483 0.00272209947408
