study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -299.9952 0.484957893511632 0.00292256296953547 0.597496151482096 0.00279302548683791
Nominal -299.9952 0.467228399487352 0.00335929195775431 0.572222112363871 0.00322421784478361
Nominal -249.99600000000004 0.540527821885904 0.00325923366869602 0.648210899907753 0.00300795054271324
Nominal -199.9968 0.627197362890869 0.00307195778285624 0.713134133875631 0.00290282451521612
Nominal -149.9976 0.710253865880706 0.0026384868838894 0.752140789616919 0.00254630601995509
Nominal -99.9984 0.783892520501232 0.0023641023721368 0.810658686170966 0.00228879768914803
Nominal -99.9984 0.792102966875411 0.00221684717100662 0.790568488873444 0.00232052863836074
Nominal -49.9992 0.854965403138073 0.00197123109736758 0.801265737476526 0.00226687036195089
Nominal -24.9996 0.882060591888939 0.00191743731625132 0.832108562366356 0.00214885659549474
Nominal -24.9996 0.873296082467459 0.00201066591476368 0.801840500095495 0.00230565497090796
Nominal -9.9932 0.895307035005539 0.00191580330204638 0.839858906788056 0.00215441220559992
Nominal -9.9932 0.888187613350762 0.00184825782011272 0.798926189958677 0.00236091018155499
Nominal -4.9966 0.901811611311404 0.0018570494474337 0.803405536339105 0.00228982539315203
Nominal -4.9966 0.893342622859718 0.00182626978762013 0.83711173960469 0.00218386968963979
Nominal -4.9966 0.904876382218074 0.0016528454036131 0.830979754153671 0.00211284071942175
Nominal -1.992 0.899152657043703 0.00167362316971637 0.831628262842727 0.00203332614373636
Nominal -1.992 0.900452934043962 0.00176057884559139 0.80747462584802 0.00235792175002181
Nominal -1.992 0.90217122116766 0.0018299336551425 0.838824321739464 0.0020941064306631
Nominal -0.996 0.899858618758007 0.00173429916130918 0.839314628360996 0.00198576396300953
Nominal -0.996 0.901499702620194 0.00187350246014656 0.832624753403455 0.00212490779782509
Nominal 0.0 0.9012247675968 0.00198906890676165 0.803115349332987 0.00253439832767866
Nominal 0.0 0.894863565704052 0.00198159977855011 0.798024835040418 0.0025084548469394
Nominal 0.0 0.891882765143267 0.0020555552630685 0.798220143499881 0.00235677516698857
Nominal 0.0 0.900443738512001 0.00182075177497515 0.842553761114675 0.00234983785130805
Nominal 0.0 0.903761208843836 0.00202091750137023 0.799654219370432 0.0022867616917247
Nominal 0.0 0.911061925145723 0.00168221751948583 0.832068346320698 0.00202510756881485
Nominal 0.0 0.904568310252451 0.00188654054599885 0.830664188650703 0.00216079697888061
Nominal 0.0 0.906547980001751 0.00167804590220627 0.837716787667339 0.00195722431861794
Nominal 0.0 0.903706212269327 0.00189818615273829 0.839600820285331 0.00209881615696234
Nominal 0.0 0.901353876767431 0.00211022650648351 0.803457916505506 0.00301423199272954
Nominal 0.0 0.905287868535055 0.00172222414284473 0.836995793728348 0.00200563696586981
Nominal 0.996 0.901044411395563 0.0019730205725213 0.848240311310297 0.00226149388493907
Nominal 1.992 0.892830605925275 0.0021034633043574 0.796526194595445 0.00258071807088667
Nominal 1.992 0.897396996862186 0.0019380565355584 0.83318713965413 0.00230468948940254
Nominal 4.9966 0.911892909372386 0.00197066263642215 0.788264945004589 0.00249525004220208
Nominal 4.9966 0.911568124555473 0.00178909473013311 0.830881385568887 0.00225807368639014
Nominal 9.9932 0.913705011919509 0.00167059356291982 0.834013169089769 0.00197165857509096
Nominal 9.9932 0.897411733257241 0.00196955525882991 0.808621605507089 0.00258540497687976
Nominal 24.9996 0.882639890023378 0.00215396740639096 0.798924152216654 0.00247596038609854
Nominal 24.9996 0.889092868378446 0.00169505802654352 0.844808976415875 0.00200417060414981
Nominal 49.9992 0.85302866927078 0.00219670593068572 0.796388328789768 0.00251036977362296
Nominal 99.9984 0.806415097452844 0.00210361026834666 0.809093408184083 0.00212633723486977
Nominal 149.9976 0.718495100330642 0.00272563777219037 0.758603643686576 0.00271021169416796
Nominal 199.9968 0.643181092520721 0.00290113862259739 0.707571887204602 0.00284846269040373
Nominal 249.99600000000004 0.564934672257012 0.00310393764845146 0.643213202681833 0.00295477578337344
Nominal 299.9952 0.473235982593771 0.00369312634679131 0.573401681628204 0.0031518813619123
Nominal 299.9952 0.484775130143891 0.00271267716136162 0.584826239112596 0.0026652671016838
75scut -299.9952 0.47863708600745 0.00295586374241735 0.60707483634141 0.00290470060469178
75scut -299.9952 0.470074264780075 0.00337303926612514 0.594687772076198 0.00332431466676919
75scut -249.99600000000004 0.545411487802687 0.00326812028699203 0.679233186061222 0.00306399323664225
75scut -199.9968 0.630935623960124 0.00307951967498121 0.738335383369822 0.002960888939746
75scut -149.9976 0.714529709099557 0.00264261887443795 0.784920624693244 0.00254959384403958
75scut -99.9984 0.785701763371717 0.00237079457447542 0.815668739903762 0.00237520968041544
75scut -99.9984 0.794537739223321 0.00222135745413388 0.822879869328845 0.00230272498070028
75scut -49.9992 0.858729190066262 0.00196571817152902 0.834989999903766 0.00223519633345559
75scut -24.9996 0.885831082536382 0.00190606758038703 0.837581102693622 0.00222870957556898
75scut -24.9996 0.877808050966423 0.00199922469466796 0.836945925855744 0.00227255933616566
75scut -9.9932 0.897193609118623 0.00191232959326348 0.845865040852177 0.00222908426812762
75scut -9.9932 0.892424294048394 0.00183070248191847 0.836394798586026 0.00232444290891531
75scut -4.9966 0.904994806583948 0.0018504620223842 0.837668199672501 0.00225765331475847
75scut -4.9966 0.895206401328776 0.00182470795861772 0.84271893299852 0.00226294127478988
75scut -4.9966 0.907438388886002 0.00164318450607071 0.836552937629797 0.00219031055723512
75scut -1.992 0.90166533571071 0.00166824551965217 0.838048564701638 0.00210170510644747
75scut -1.992 0.904400517944832 0.00174593123753469 0.841446533587739 0.00233428283836634
75scut -1.992 0.903192300299562 0.00183159433988367 0.842922177468846 0.00217079815127952
75scut -0.996 0.901713698877341 0.00173494013549141 0.842759031754923 0.00206275751094664
75scut -0.996 0.904508575839605 0.00186790116433144 0.838460025743561 0.00220220967431994
75scut 0.0 0.905348480859449 0.00197327252158674 0.835954841270516 0.00250536881618996
75scut 0.0 0.897510849632619 0.0019745832786412 0.832833954851258 0.00247365308375913
75scut 0.0 0.897408801943375 0.00203448401794232 0.834242871602776 0.00231751957928261
75scut 0.0 0.903785246552347 0.00181072329836007 0.846874287505265 0.00243374107601257
75scut 0.0 0.907274909063059 0.0020063186229472 0.836447736630275 0.00224611593975321
75scut 0.0 0.912275611249403 0.00168665356247688 0.83753686004013 0.00209704399923127
75scut 0.0 0.906911555571527 0.00188440284145869 0.838110267970209 0.00223580530402007
75scut 0.0 0.908526949281034 0.00167583544599403 0.842638134039432 0.00202733871541327
75scut 0.0 0.905951935981267 0.00189503420058318 0.844068359566352 0.00217937557800618
75scut 0.0 0.907379373975895 0.00268570320901745 0.836660574155636 0.00309859543703411
75scut 0.0 0.908702611241107 0.00170976595953182 0.842542233491339 0.00207683316559393
75scut 0.996 0.902965483988598 0.00197240357438055 0.849935981462034 0.00236066968768106
75scut 1.992 0.895664299305282 0.00209592716232704 0.832693156137584 0.00255332392577168
75scut 1.992 0.901428563045105 0.00192234375472738 0.841425129279382 0.00237450518443361
75scut 4.9966 0.91423728409581 0.00197530273356272 0.823252358159012 0.00247169132663783
75scut 4.9966 0.912452584012662 0.00179224520845894 0.837050142194345 0.00234021409154295
75scut 9.9932 0.917214259676467 0.00166135751019258 0.838861229867627 0.00204232307111485
75scut 9.9932 0.902694987922374 0.00194965038785816 0.84054789812465 0.00256774105661584
75scut 24.9996 0.887657058231385 0.00213714545296684 0.833758898648169 0.00244301433684679
75scut 24.9996 0.890917014171798 0.00169599126095332 0.850950625946859 0.00206961602090405
75scut 49.9992 0.858088598609979 0.0021823774612002 0.834517306988456 0.00246385850271341
75scut 99.9984 0.808117028626644 0.00210831203152084 0.815227841959163 0.00220301269899065
75scut 149.9976 0.722318839584852 0.00272893715622574 0.788534807177681 0.00273027022513322
75scut 199.9968 0.646306697785294 0.00290900854403797 0.735328355838414 0.00290315481953751
75scut 249.99600000000004 0.567989572634632 0.00311393418065731 0.67021822790961 0.00302331549523244
75scut 299.9952 0.476067258518355 0.00371414451294405 0.597407002057577 0.00359541365836913
75scut 299.9952 0.486406523335085 0.00272425456060774 0.593744084367483 0.00277111796435009
