study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -97.64618 0.0151328809477762 0.00314690115620964 0.0155760830789214 0.00325468627429157
Nominal -73.23422 0.0979745647961848 0.00315016714701982 0.0947626015488702 0.00321902945259372
Nominal -48.82226 0.341534400971093 0.00308385024461633 0.288663421254034 0.00313399551166263
Nominal -24.4103 0.709908099624855 0.00244833785548393 0.610197915128894 0.00296423125624251
Nominal -9.764119999999998 0.86342944734229 0.00191333664305282 0.795056569414503 0.00218051397476371
Nominal -9.764119999999998 0.869629026677654 0.00189022618958956 0.769755058584102 0.00248708346543508
Nominal -4.882059999999999 0.896914800932746 0.00176646364384114 0.824285199653043 0.00206871304982981
Nominal -4.882059999999999 0.889354312535563 0.00181964455380074 0.810708517503475 0.00213954814118639
Nominal 0.0 0.901351534332393 0.00174617713212888 0.81732744175026 0.00218885309294015
Nominal 0.0 0.901528060065086 0.00173696205623941 0.81693042544673 0.00215466384912966
Nominal 0.0 0.903595881747709 0.00175471027453417 0.840879552652495 0.00199548376740361
Nominal 0.0 0.900226774285391 0.00179448282711925 0.807882510017099 0.00241238894323803
Nominal 0.0 0.897965549786274 0.00180507360250631 0.828451865797777 0.00204449461318151
Nominal 0.0 0.904521540856139 0.00177725126658357 0.805360869865021 0.002193033691399
Nominal 4.882059999999999 0.892302583870438 0.00178903773221417 0.808955460015961 0.00220047172755483
Nominal 9.764119999999998 0.855035734683968 0.00196754711238689 0.79693474886893 0.00224657931119082
Nominal 24.4103 0.679092729693139 0.00255640741906377 0.657762503918158 0.00262699806665051
Nominal 48.82226 0.318319159894 0.00306675607238566 0.334691910175581 0.00310621097407554
Nominal 73.23422 0.0925173554265923 0.00316905304165183 0.112973006707792 0.00323425657604179
Nominal 97.64618 0.0148769816526418 0.00314873290376522 0.0226479301101399 0.0032426345842918
75scut -97.64618 0.0141043210726015 0.00315850582060004 0.01632861496643 0.00340959297689764
75scut -73.23422 0.0994246087737001 0.0031665051796505 0.0983097009630947 0.00337075413818511
75scut -48.82226 0.341898677272096 0.00309889449300743 0.302872401465772 0.0032721327844423
75scut -24.4103 0.71221041526993 0.00245376772447403 0.639561406021115 0.00304011904046553
75scut -9.764119999999998 0.865211275282051 0.00191660187695764 0.800243481098807 0.00226379832972667
75scut -9.764119999999998 0.872575454772577 0.00188439339498703 0.799507111793403 0.00249537324526838
75scut -4.882059999999999 0.899103885505635 0.00176241330532806 0.829477063455007 0.00214454973606903
75scut -4.882059999999999 0.892828896037234 0.00180896492513993 0.839663279012336 0.0021237981558927
75scut 0.0 0.905446504164853 0.0017314058450788 0.847219288572232 0.00216664172421066
75scut 0.0 0.904381126299669 0.00172504890813396 0.847127512030543 0.00213248516684028
75scut 0.0 0.906972398502407 0.0017443118957724 0.845075054640561 0.00206989086165926
75scut 0.0 0.902903336235721 0.00178704956270648 0.840521878475448 0.0023820569311207
75scut 0.0 0.901077729573922 0.00179748688684223 0.857546498210306 0.00201430399109204
75scut 0.0 0.908891320979673 0.00175721748759694 0.839163421223059 0.00215985759533022
75scut 4.882059999999999 0.896613776260107 0.00177126228378205 0.841802582671866 0.0021689960549105
75scut 9.764119999999998 0.858809854950159 0.00196071935565856 0.828331023820609 0.00223219661107399
75scut 24.4103 0.68195381486742 0.00256277223906248 0.685835239793589 0.00267938107994448
75scut 48.82226 0.319681759402475 0.00308101297568461 0.351415307360818 0.00323716232904644
75scut 73.23422 0.0930894342659616 0.00318601554694159 0.11873460334236 0.00338244407574434
75scut 97.64618 0.0150748066998825 0.00316590867308686 0.0251352530325838 0.00341006084690743
